"Course Enrollments by Course
2016-17, Survey 3 - Preliminary
State Level",,
8772140,"TV PRODUCTION 4",1146
8772150,"TV PRODUCTION 5",447
8772160,"TV PRODUCTION 6",272
8772170,"TV PRODUCTION 7",131
8772180,"TV PRODUCTION 8",84
8772190,"TV PRODUCTION 9",4
8772220,"FILM PDCT EQ OPERAT2",5
8772310,"DIG AUD PROD 1",205
8772320,"DIG AUD PROD 2",22
8772330,"DIG AUD PROD 3",18
8772340,"DIG AUD PROD 4",8
8772410,"DIG VID PROD 1",5242
8772420,"DIG VID PROD 2",1748
8772430,"DIG VID PROD 3",832
8772440,"DIG VID PROD 4",347
8772450,"DIG VID PROD 5",51
8772460,"DIG VID PROD 6",26
8772470,"DIG VID PROD 7",59
8772480,"DIG VID PROD 8",62
8772490,"DIG VID PROD 9",36
8772491,"DIG VID PROD 10",15
8800100,"MKT ED DIR STUDY",167
8800110,"ORIEN TO MKT OCCS",166
8800210,"EX OF MKT OCCS",40
8800410,"MARKETING COOP-OJT",575
8800420,"HOSP & TOUR OJT",59
8800510,"CULINARY ARTS 1",26635
8800520,"CULINARY ARTS 2",10268
8800530,"CULINARY ARTS 3",5367
8800540,"CULINARY ARTS 4",2094
8800600,"CULINARY & HOSP SPEC",7
8800610,"CUL & HOSP SPEC 1",386
8800620,"CUL & HOSP SPEC 2",154
8801000,"HOSP & TOUR DIR ST",669
8806010,"FASH ESSENTIALS",361
8806020,"FASHION APPL",119
8806030,"FASH MKT MGMT 3",133
8809108,"RETAIL ESSEN",3
8809200,"FUND OF CUL CAREERS",9593
8809300,"FUND OF CUL CAR & CP",3581
8812000,"BUSINESS OWNERSHIP",1278
8812100,ENTREPRENEURSHIP,142
8812110,"PRIN OF ENTREPRENEUR",2195
8812120,"BUSINESS MGMT & LAW",843
8815110,"FINANCIAL OPS",1707
8815120,"PERS FIN PLAN",1503
8815130,"FINANCIAL INTERN",226
8815150,"FIN & BUSINESS TECH",2047
8815160,"MANAGERIAL ACCT",3
8815170,"BUS IN A GLOBAL ECON",3
8827110,"MARKETING ESSENTIALS",3830
8827120,"MKT APPLICATIONS",1451
8827130,"MKT MANAGEMENT",612
8827210,"E-COMMERCE MKT",148
8827410,"SPORT REC ENT ESSEN",1366
8827420,"SPORT REC ENT APPL",529
8827430,"SPRT REC ENT MKT MGM",478
8827440,"SPRT REC ENT INTERN",18
8830320,"LODGING PRIN",236
8830330,"LODGING APPL",273
8839110,"INTL MKT 1",59
8839120,"INTL MKT 2",60
8839130,"INTL MKT 3",85
8845120,"TRA & TOUR MKT MGMT",484
8845130,"HOS & TOUR INTERN",92
8845140,"CPTR TECH TRA TOUR",299
8848110,"CUSTOMER SERV REPR 1",1477
8848120,"CUSTOMER SERV REPR 2",334
8848130,"CUSTOMER SERV REPR 3",71
8848140,"CUSTOMER SERV REPR 4",2
8850110,"INTROD TO HOS & TOUR",2930
8850350,"EXPL HOSP & TOUR",955
8850360,"EXPL HOSP & TOUR/CP",185
8900100,"LAW, PS & SECU DS",191
8900210,"INTRO GOV & PS",58
8900220,"EXP OF CJ OCCS",554
8900330,"PRIN PUB SERV",28
8900360,"INTRO GOV & PS/CP",100
8900410,"LAW, PS & SEC OJT",2
8900420,"HUMAN SERVICES OJT",1
8900500,"FUND OF GOV & PS",23
8901000,"HUMAN SERVICES DS",126
8905120,"COSMETOLOGY NAILS 2",1313
8905130,"COSMETOLOGY FACIALS",353
8905140,"COSMETOLOGY 4",550
8905150,"COSMETOLOGY 5",462
8905160,"COSMETOLOGY 6",289
8905170,"COSMETOLOGY 7",205
8905180,"COSMETOLOGY 8",197
8905190,"COSMETOLOGY 9",178
8909000,"PRIN OF TEACHING",5
8909010,"INTRO TEACH PROF",4120
8909020,"HUMAN GROWTH/DEV",1165
8909030,"FOUND/CURR & INSTRUC",773
8909040,"PRIN TEACHING INTERN",555
8913030,"LAND RES 3",11
8913040,"LAND RES 4",24
8915010,"CIVIL ENGR AIDE 1",81
8915020,"CIVIL ENGR AIDE 2",25
8915030,"CIVIL ENGR AIDE 3",19
8915040,"CIVIL ENGR AIDE 4",28
8918010,"CRIMINAL JUST OPS 1",7721
8918020,"CRIMINAL JUST OPS 2",2938
8918030,"CRIMINAL JUST OPS 3",1790
8918031,"PRIVATE SECURITY OFR",71
8918040,"CRIMINAL JUST OPS 4",780
8918210,"FIREFIGHTING 1",485
8918220,"FIREFIGHTING 2",211
8918230,"FIREFIGHTING 3",107
8960300,"FUND OF HUMAN SERV",44
8960370,"EX FAM & CON SCI",1515
9000100,"IT DIRECTED STUDY",367
9000420,"IT OJT",2
9001110,"FOUND OF WEB DESIGN",5243
9001120,"USER INTERFACE DSN",1497
9001130,"WEB SCRIPT FUND",455
9001140,"MEDIA INTEGRAT ESS",60
9001150,"E-COMM & MKT ESS",73
9001160,"INTERACTIVITY ESS",48
9001210,"CSIT FOUNDATIONS",497
9001220,"CSIT SYS ESSENTIALS",259
9001230,"CSIT NET SYS CONFIG",153
9001240,"CSIT NET SYS DSG/ADM",80
9001250,"CSIT CYBER SEC ESSEN",61
9001260,"CSIT CYBER SEC-PHYS",44
9001310,"IT FUNDAMENTALS",385
9001320,"CPT & NET SECURITY",702
9001330,"CYBERSECURITY ESSEN",349
9001340,"OPERATIONAL CYBERSEC",173
9001350,"CYBER PLAN & ANLY",4
9001360,"DATABASE SECURITY",16
9001410,"IT ESSENTIALS",334
9001420,"TECH SUPPORT-CLIENT",519
9001430,"TECH SUPPORT-NETWORK",241
9001440,"TECH SUPPORT-SPZD TE",123
9001810,"CAR ED STUS DISAB",1024
9001820,"VOC/EMP SKLS/YOU &CP",165
9001920,"VOC/EMP SKLS/YOUTH",763
9003410,"COMPUTER FUNDAMENTAL",853
9003420,"WEB TECHNOLOGIES",558
9003430,"IT SYS & APPS",402
9003440,"DATABASE ESSENTIALS",108
9003450,"PROG ESSENTIALS",389
9003460,"WEB DEV TECH",203
9003470,"MULTIMEDIA TECH",143
9003480,"CPT NETWK FUND",57
9003490,"CYBERSECURITY FUND",29
9005110,"DIG MEDIA FUNDAMENTA",2146
9005120,"DIG MEDIA PROD SYS",782
9005130,"DIG MEDIA DELIVERY",333
9005140,"ADV DIG MEDIA SYS",57
9005200,"MODELING & SIMULAT",20
9005210,"MODEL & SIM FOUNDS",136
9005220,"MODEL & SIM DESIGN",62
9005230,"MODEL & SIM APPS",65
9005240,"MODEL & SIM PROTO",33
9007210,"FOUND OF PROGRAMMING",2298
9007220,"PROCEDURAL PROGRAM",358
9007230,"OBJ-ORIENT PROGRAM",76
9007240,"JAVA PROGRAM ESSEN",146
9007250,"APPL OBJ-OR JAVA PRO",19
9007260,"JAVA DB PROGRAMMING",24
9007270,"JAVA PROGRAM CAP",32
9007410,".NET APP DEV FOUND",49
9007420,".NET APP DEV APPLIED",5
9007430,".NET APP DEV CAP",2
9007510,"WEB PROGRAMMING",16
9007520,"JAVASCRIPT PROGRAM",8
9007530,"PHP PROGRAM",5
9009100,"INFO & COMM TECH ESS",490
9009110,"INFO & COMM TECH 1",13523
9009120,"INFO & COMM TECH 2",5061
9009130,"INFO & COMM TECH 3",1963
9009350,"EXPLOR IT CAREERS",3494
9009360,"EXPLOR IT CAREERS/CP",1709
9009400,"FUND OF NET & INFO",250
9009500,"FUND OF WEB & SOFT",3895
9100110,"OR CAR&TEC OCCS & CP",5902
9100210,"EX CAR&TECH OCCS",4063
9100310,"ORIEN CAR& TECH OCCS",1179
9101100,"DISP: POL,FIRE, AMB",128
9160350,"INTRO LAW & PS",177
9160360,"INTRO LAW & PS & CP",304
9200110,"AUTO & PROD TECH 1",575
9200120,"AUTO & PROD TECH 2",235
9200130,"AUTO & PROD TECH 3",80
9200140,"AUTO & PROD TECH 4",33
9200420,"MANUFACTURING OJT",5
9201000,"MANUF DIRECTED ST",49
9202110,"MACHINING TECH 1",168
9202120,"MACHINING TECH 2",28
9202210,"MARITIME RPR/REF 1",26
9202220,"MARITIME RPR/REF 2",28
9202230,"MARITIME RPR/REF 3",1
9204310,"MACHINERY MAINT 1",2
9204320,"MACHINERY MAINT 2",2
9204330,"MACHINERY MAINT 3",2
9204410,"WELD TECH FUNDS 1",916
9204420,"WELD TECH FUNDS 2",378
9204430,"WELD TECH FUNDS 3",147
9204440,"WELD TECH FUNDS 4",65
9204450,"WELD TECH FUNDS CAP",17
9260350,"INTRO TO MANUFACTUR",129
9260360,"INTRO TO MANUF & CP",219
9260400,"FUND OF MANUFACTUR",984
9309350,"INTRO MKT SAL & SR",58
9309360,"INTRO MKT & CP",114
9380300,"FUND OF MARKET OCCS",17
9400110,"PRIN SCIEN VISUALIZ",153
9400120,"DATA MODELING",100
9400130,"ADV APPS SCI VISUAL",19
9400920,"ROBOTICS SYSTEMS",26
9410100,"APPLIED ROBOTICS",23
9410110,"FOUND OF ROBOTICS",2835
9410120,"ROBOTIC DESIGN ESS",500
9410130,"ROBOTIC SYSTEMS",225
9410140,"ROBOTIC APPL CAP",69
9500420,"TRANSPORTATION OJT",26
9501000,"TRANSPORT DIR ST",124
9503110,"GLOB LOG & SUP CH TE",387
9503120,"INTRO TO IT APPS",212
9503130,"GLOB LOG OPS",157
9503140,"GLOB LOG MGMT",64
9504110,"AUTO MAINT/LT RPR 1",3899
9504120,"AUTO MAINT/LT RPR 2",1714
9504130,"AUTO MAINT/LT RPR 3",1050
9504140,"AUTO MAINT/LT RPR 4",529
9504150,"AUTO MAINT/LT RPR 5",261
9504160,"AUTO MAINT/LT RPR 6",109
9504210,"OUTBOARD MARINE 1",297
9504220,"OUTBOARD MARINE 2",109
9504230,"OUTBOARD MARINE 3",68
9504240,"OUTBOARD MARINE 4",20
9504250,"ADV MARINE TECH 1",5
9504260,"ADV MARINE TECH 2",3
9504270,"OUTBOARD MARINE CAP",2
9504510,"POWER & EQUIP TECH 1",121
9504520,"POWER & EQUIP TECH 2",6
9504530,"POWER & EQUIP TECH 3",2
9540310,"ELECTRONICS FUND 1",158
9540320,"ELECTRONICS FUND 2",33
9540330,"COMM SYSTEMS TECH",30
9540410,"MOBILE ELECT TECH 1",17
9540610,"PRIVATE PIOLT GROUND",63
9590360,"INTRO TO TRANS & CP",33
9590400,"FUND OF TRANSPORT",52
9709350,"INTRO TO ENERGY",137
9709360,"INTRO TO ENERGY & CP",50
9790300,"FUND OF ENERGY",83
9900130,"GED Preparation",14
9900131,"GED PREP RLA",84
9900132,"GED PREP SOCIAL STDY",58
9900133,"GED PREP SCIENCE",86
9900134,"GED PREP MATH REASNG",82
9900135,"GED Prep Comp",44
ACO0040,"ACCOUNTING CLERK",35
ACO0041,"ACCOUNTING ASSC",43
ACO0042,"ACCOUNTING ASST",17
ACR0041,"AC, REF & HEAT HLP",22
ACR0043,"AC, REF & HEAT MECH",45
ACR0044,"AC, REF & HEAT TECH",3
ACR0046,"REFRIGERATION TECH",5
ACR0047,"AC, REFG & HEAT MEC1",4
ACR0049,"AC, REFG & HEAT MEC2",9
AER0014,"AUTO SERVICES ASST",245
AER0110,"ENGN RPR TECH",46
AER0172,"AUTO HEAT&AC TECH",32
AER0360,"AUTO ELEC/ELECT TECH",128
AER0418,"AUTO BRAKE SYS TECH",121
AER0453,"AUTO SUSP & STEER TE",52
AER0503,"AUTO ENGN PERF TECH",18
AMT0700,"AV GEN MAINT TECH HL",187
AMT0710,"AV MAINT TECH FAA1",46
AMT0711,"AV MAINT TECH FAA2",53
AMT0720,"AV MAINT TECH PPR1",37
AMT0721,"AV MAINT TECH PPR2",25
ARC1301,"ARCHITECTURAL DESIGN I",31
ARR0020,"AUTO COLL EST",25
ARR0127,"AUTO REFINISHING",13
ARR0210,"PAINT & BODY HELP 1",72
ARR0213,"PAINT & BODY ASST",84
ARR0240,"AUTO BODY RPR",5
ARR0313,"FRAME & BODY RPRM",21
ASC2560,"UNMANNED VEHICLES AND SYSTEMS",17
ASC3471,"PHYSIOLOGY OF FLIGHT",20
ATE0006,"VET ASST & LAB ANI 1",64
ATE0070,"VET ASST & LAB ANI 2",218
ATE0072,"VET ASST",97
AVS0091,"AVIONICS INSTALLER",13
AVS0680,"BASIC ELEC WIRE INST",30
AVS0681,"ELECT SYSTEMS TECH",30
AVS0682,"ANALOG CIRCUITS TECH",29
AVS0683,"AIRCRAFT ELECT TECH",30
AVS0684,"AVIONICS INSTALL/TEC",30
AVS0685,"ADV AVIONICS INSTALL",13
B070300,"MEDICAL ADMIN SPEC",1
BCV0080,"BLDG CONSTR ASST",119
BCV0081,"CARP & MASONRY TECH",3
BCV0083,"AIR COND & PAINT TEC",1
BCV0107,"CARPENTER HELPER",7
BCV0122,"CARPENTER,ROUGH",2
BCV0362,"BRICKMASON 1",2
BCV0400,"BLDG CONST HLP",128
BCV0401,"BLDG CONST TECH 1",10
BCV0402,"BLDG CONST TECH 2",2
BCV0508,"HLP, PLUMB, PIPEFIT",4
BCV0562,"COMM PLUMBER",1
BCV0592,PLUMBER,1
BCV0603,"ELECTRICIAN HELPER",28
BCV0640,"RES ELECTRICIAN",41
BCV0652,"COMM ELECTRICIAN",15
CCJ1600,"DEVIANT BEHAVIOR",1
CETC178,"NETWORK COMPUTER MAINTENANCE AND REPAIR (",106
CETC610,"CISCO ROUTER TECHNOLOGY",15
CETC620,"CISCO PROJECT BASED LEARNING",9
CGS1022,"INTRODUCTION TO COMPUTING IN AVIATION",17
CJK0114,"POLICE SERVICE AIDE",4
CJK0120,"POL SERVICE AIDE-CJO",5
COP2660,"ANDROID PROGRAMMING",21
CSP0015,"MANIC & PEDICUR",21
CTS0015,"WEB MEDIA INTEGRAT",3
CTS0016,"WEB E-COMMERCE",5
CTS0017,"WEB INTERACTIVITY",3
CTS0018,"CYBERSECURITY ASSC",258
CTS0019,"INFO SECURITY MGR",8
CTS0021,"DATA SECURITY SPEC",2
CTS0022,"NET SPT HELP DESK AS",31
CTS0023,"NET SPT ADMIN",29
CTS0024,"SR NET ADMINISTRATOR",1
CTS0026,"NETWORK SUPPORT TECH",28
CTS0027,"SYSTEMS ADMIN",6
CTS0028,"SYSTEMS ENGINEER",1
CTS0029,"WIRELESS NET ADMIN",1
CTS0031,"JAVA DEVELOPER",5
CTS0032,".NET PROGRAMMER",11
CTS0041,"CPT PROGRAMMER ASST",41
CTS0044,"CPT PROGRAMMER",47
CTS0049,"WEB SCRIPTING",29
CTS0054,"CLOUD ANALYSIS",22
CTS0062,"DATABASE PROGRAMMER",25
CTS0069,"CPT SECURITY TECH",28
CTS0070,"WEB DESIGN FOUND",4
CTS0071,"WEB INTERFACE DSN",30
CTS0072,"IT & WEB SYSTEMS",1
CTS0082,"CPT SYSTEMS TECH",416
CTS0083,"CPT NETWORK TECH",143
CTS0084,"CPT NETWORK SPEC",37
D886300,"GUIDED WKPL LEARN",1
DEA0005,"DENTAL LAB TECH",1
DEA0706,"ADV DENTURE TECH",7
DEA0709,"CROWN & BRIDGE TECH",3
DEA0710,"CERAMIC TECH",1
DEA0713,"DENTURE TECH 2",10
DEA0725,"INTRO TO DENTAL ASST",6
DEA0726,"DENT INFECT CTRL AST",20
DEA0727,"DENTAL ASSISTING 1",25
DEA0728,"DENTAL ASSISTING 2",13
DIG0060,"3-D ANI PROD ASST",219
DIG0061,MODELER,88
DIG0062,"TEXTURE ARTIST/RIG",9
DIG0063,"ANI/MOTION CAP TECH",2
DIG0070,"GAME/SIM DESIGNER",595
DIG0071,"GAME/SIM GRAPH ART",34
DIG0072,"GAME/SIM 3D ANIMATOR",39
DIG0075,"GAME/SIM PROG",5
DIG0076,"GAME/SIM SOFT DEV",11
DIG0081,"THEORY & FOUND DSN",4
DIG0082,"MM DIGITAL/PRINT DSN",91
DIG0083,"MM WEB INTERACTIVE",46
DIG0084,"MM PRODUCER DESIGN",37
DIG2000,"INTRODUCTION TO DIGITAL MEDIA",10
DIM0101,"DSL ENGN MEC/TEC HLP",19
DIM0102,"DSL ELEC & ELECT TEC",10
DIM0104,"DIESEL ENGINE TECH",6
DIM0105,"DIESEL BRAKES TECH",19
DIM0108,"DSL DRIVETRAIN TECH",1
DIM0109,"DIESEL HYDRA TECH",17
E91010H,"CWE - HEALTH SCIENCE",1
EDG0317,"TEACHER ASST",14
EER0310,"APPLIANCE HELPER",14
EER0315,"LAUNDRY TECH",6
EER0317,"KITCHEN TECH",24
EEV0010,"ELECTRONICS ASMBR",19
EEV0100,"ELECTRONICS TESTER",18
EEV0317,"DATA COMM ANALYST",29
EEV0504,"CPT SUPPORT ASST",7
EEV0616,"ELECTRONICS TECH",1
EEV0650,"ELECTRICIAN (CONST)",3
EEV0652,"INSTRUMENT MECH",3
EGNC111,"ENGINEERING GRAPHICS",31
EMS0050,"EMERG MED RESP",4
EMS0110,"EMER MEDICAL TECH",74
EMS0159,"EMER MEDICAL TECH",8
ENT1000,"INTRODUCTION TO ENTREPRENEURSHIP",1
ETC0003,"PUB WORKS CADET 1",14
ETD1320,"INTRODUCTION TO AUTO CAD",14
ETI0450,"INDUS MACH MAINT AST",3
ETI0456,"MACH MAINT MECH",2
ETI0482,ASSEMBLER,4
ETI0484,"PROCESS ASSISTANT",4
FFP0010,"FIRE FIGHTER I",6
FIL0085,"VIDEO PROD MGR",4
FIL0086,"GRIP & LIGHT TECH",4
FIL0087,"MP PROJ/DIG CINEMA",2
FIL0088,"DIG VIDEO EDITOR",2
FSS0090,"PASTRY COOK/BAKER",4
FSS0091,"PASTRY CHEF/HD BAKER",4
GEB1011,"PRINCIPLES OF BUSINESS",2
GRA0021,"DIG PUBLISH ASST 2",4
GRA0023,"DESKTOP PUB SPEC 2",6
GRA0024,"PRODUCTION ASST",18
GRA0025,"DIGITAL ASST DSN",37
GRA0026,"GRAPHIC DESIGNER",8
GRA0027,"MEDIA DESIGNER",18
GRA0036,"DESKTOP PUB ASST",29
GRA0037,"DESIGN TECH",52
GRA0038,ILLUSTRATOR,10
GRA2201,"DIGITAL IMAGING I",16
HCP0020,"PATIENT CARE ASST",126
HCP0121,"NURSE AIDE & ORDERLY",133
HCP0332,"ADV HOME HEALTH AIDE",167
HEV0870,"CHILD CARE WKR 1",10
HEV0871,"CHILD CARE WKR 2",49
HEV0872,"TEACHER AIDE (PRESC)",166
HEV0873,"PRESCHOOL TEACHER",157
HIM0074,"MED TRANSCRIB 1",1
HIM0075,"MED TRANSCRIB 2",1
HIM0076,"HEALTH UNIT CLERK",7
HIM0081,"MED TRANSCRIB 3",2
HIM0091,"MED CODER/BILLER I",7
HIM0092,"MED CODER/BILLER II",7
HMV0100,"FOOD PREPARATION",911
HMV0126,"FOOD SERVICE MGMT",115
HMV0170,"COOK - RESTAURANT",219
HMV0171,"CHEF/HEAD COOK",37
HMV0201,"FRONT DESK AGENT",44
HMV0202,"LODGING MANAGERS",44
HSC0003,"BASIC HEALTHCARE WKR",277
HSC0016,"ALLIED HEALTH ASST",40
HSC1000,"ORIENTATION TO PERIOPERATIVE SERVICES",1
I469999,"ARCH & CONST-OJT",5
I470608,"AUTO SERVICE TECH",1
K610100,"CMCL PHOTO TECH 1",1
MEA0002,"INTRO TO MED ASSIST",158
MEA0501,"MEDICAL OFFICE PROC",179
MEA0506,"ADMIN OFF PROCEDURES",21
MEA0520,PHLEBOTOMIST,12
MEA0521,"PHLEBOTOMIST, MA",57
MEA0530,"PHARM/MEDICAL ASSIST",8
MEA0540,"EKG AIDE",16
MEA0541,"EKG TECH",16
MEA0543,"EKG AIDE, MA",94
MEA0560,"MEDICAL LAB ASST",52
MEA0573,"LABORATORY PROCEDURE",70
MEA0580,"ADV ALL HEALTH ASST",45
MEA0581,"CLINICAL ASSISTING",135
MEA0942,"PRACTICUM EXPERIENCE",21
MKA0010,"MARKETING MANAGERS",13
MKA0080,"ENTERTAIN, SPTS & RE",13
MKA0090,"BUS DEVELOPMENT MGR",9
MKA0091,"(ENT) GEN MANAGER",9
MKA0432,"SALESPERSON, RETAIL",21
MKA0455,"(E-COMM) CPT SPEC",18
MKA0644,"PARTS ACCT CLERK",23
MKA0647,"STOCKROOM CLERK",23
MKA0648,"PURCHASING AGENT",7
MLT0368,"DIALYSIS TECH 1",13
MLT0369,"DIALYSIS TECH 2",13
MNA0080,"SUPR/MANAGER TRAINEE",59
MNA0082,SUPERVISOR,24
MTE0003,"MARINE RIGGER",4
MTE0056,"INBOARD DIESEL TECH",4
MTE0090,"OUTBOARD ENGINE TECH",21
MTE0092,"INBOARD GAS ENG TECH",4
MTE0093,"DRIVE TRAIN TECH",8
OPT0005,"OPTOMETRIC ASST 1",13
OPT0006,"OPTOMETRIC ASST 2",13
OPT0007,"OPTOMETRIC ASST 3",7
ORH0803,"LANDS & GROUNDS SUPR",1
ORH0862,"NURSERY WORKERS",2
OTA0030,"ASST DIG PROD DSN",15
OTA0040,"INFO TECH ASST",246
OTA0041,"FRONT DESK SPEC",134
OTA0042,"ADMIN SUPPORT",17
OTA0043,"ADMIN OFFICE SPEC",6
OTA0050,"LEGAL ADMIN SPEC",27
OTA0631,"MEDICAL OFFICE TECH",32
OTA0651,"MEDICAL ADMIN SPEC",9
PEP0110,"Personal Trainer",12
PGY0190,"PHOTOGRAPHIC SPEC",416
PGY0191,"PHOTOGRAPHY TECH",157
PGY0192,"STUDIO PHOTOGRAPHER",9
PGY0193,"DIGITAL PHOTOGRAPHER",7
PGYC210,"PROFESSIONAL STUDIO PORTRAITURE",2
PHT0090,"ORTHOPEDIC TECH 1",7
PHT0091,"ORTHOPEDIC TECH 2",7
PMT0011,"WELDER HELPER",1
PMT0012,"WELDER, SHIELDED MA",3
PMT0013,"WELDER, GAS-METAL AR",1
PMT0020,"MACHINIST HELPER",6
PMT0022,"MACHINIST OPERATOR",13
PMT0025,MACHINIST,11
PMT0070,"WELDER ASSISTANT 1",11
PMT0071,"WELDER ASSISTANT 2",64
PMT0072,"WELDER, SMAW 1",75
PMT0073,"WELDER, SMAW 2",29
PMT0074,WELDER,21
PMT0075,"ADVANCED WELDER 1",2
PMTC203,"INTRODUCTION TO MACHINING",1
PRN0090,"NURSE AIDE & ORDERLY",9
PRN0091,"PRAC NURSE 1",103
PRN0092,"PRAC NURSE 2",102
PRN0094,"PATIENT CARE TECH",36
PRN0096,"PRAC NURSE 3",42
PTN0084,"PHARMACY TECH 1",119
PTN0085,"PHARMACY TECH 2",62
PTN0086,"PHARMACY TECH 3",51
RTT0514,"STUDIO ASST",5
RTT0516,"STUDIO TECH",5
RTT0518,"STUDIO TECH/EDIT AS",3
RTT0522,"BROADCAST ANNOUNCER",1
RTT0523,"AUDIO EQUIP TECH",15
RTT0524,"SOUND ENGR TECH",5
RTT0525,"BROADCAST TECH",24
RTT0527,"AUDIO BROADCAST TECH",3
RTT0530,"DIG VIDEO FUND",586
RTT0531,"AUD/VID EQUIP TECH",269
RTT0532,"CAMERA OPERATOR",101
RTT0533,"VIDEO EDITOR",36
SER0080,"POWER EQUIP SRV TEC1",8
SER0081,"POWER EQUIP SRV TEC2",7
SLS1122,"COMPUTER SKILLS FOR ACADEMIC SUCCESS",15
SLSC301,"LIFE/CAREER PLANNING",15
TARC122,"ADVANCED CONSTRUCTION DRAWING",1
TDR0070,"BLUEPRINT READER",48
TDR0370,"DRAFTING ASST",83
TDR0570,"ARCHITECTURAL DRAFT",18
TDR0775,"DRAFTING DETAILER 1",12
TDR0776,"DRAFTING DETAILER 2",7
TDR0777,"MECHANICAL DRAFTER",12
TDR0874,"CIVIL DRAFTER",22
TDR0875,"STRUCTURAL DRAFTER",16
